PurchaseOrderSysID,PurchaseOrderID,SupplierID,WarehouseID,OrderDate,ExpectedDeliveryDate,OrderStatus,PaymentStatus
SYSPO0000001,PO770487,SUP946721,WH100425,2026-04-07,2026-04-25,Delivered,Paid
SYSPO0000002,PO246316,SUP528361,WH555884,2025-09-14,2025-10-02,Delivered,Paid
SYSPO0000003,PO191161,SUP475190,WH686075,2025-08-11,2025-08-26,Cancelled,Cancelled
SYSPO0000004,PO198246,SUP943718,WH808011,2026-05-16,2026-05-22,Delivered,Paid
SYSPO0000005,PO308496,SUP384076,WH412942,2025-11-16,2025-11-30,Delivered,Paid
SYSPO0000006,PO571029,SUP384076,WH997546,2025-11-05,2025-11-19,Delivered,Paid
SYSPO0000007,PO944962,SUP330080,WH429164,2025-10-27,2025-11-02,Delivered,Paid
SYSPO0000008,PO325772,SUP514850,WH324082,2025-09-25,2025-10-08,Delayed,Pending
SYSPO0000009,PO197251,SUP401601,WH100425,2026-05-15,2026-05-26,Delivered,Paid
SYSPO0000010,PO377370,SUP393243,WH636265,2025-09-10,2025-09-26,Delivered,Paid
SYSPO0000011,PO496922,SUP725550,WH801474,2026-04-21,2026-05-05,Delivered,Paid
SYSPO0000012,PO479201,SUP205907,WH100425,2026-05-16,2026-06-03,Delivered,Paid
SYSPO0000013,PO338968,SUP970127,WH324082,2026-07-14,2026-07-29,Delivered,Paid
SYSPO0000014,PO205907,SUP500156,WH233470,2026-03-01,2026-03-14,Delivered,Paid
SYSPO0000015,PO270555,SUP314181,WH274389,2025-09-04,2025-09-28,Delivered,Paid
SYSPO0000016,PO816751,SUP242254,WH770487,2026-03-19,2026-04-03,Delivered,Paid
SYSPO0000017,PO864544,SUP131244,WH460663,2026-01-12,2026-01-23,Delivered,Paid
SYSPO0000018,PO771088,SUP522179,WH422451,2025-08-14,2025-08-31,Delivered,Paid
SYSPO0000019,PO905635,SUP270395,WH922157,2025-08-13,2025-08-29,Delivered,Paid
SYSPO0000020,PO430776,SUP152578,WH422451,2025-09-07,2025-09-18,Delivered,Paid
SYSPO0000021,PO694731,SUP518373,WH922157,2025-10-25,2025-11-14,Delivered,Paid
SYSPO0000022,PO514850,SUP982554,WH829716,2025-10-31,2025-11-17,Delivered,Paid
SYSPO0000023,PO246413,SUP913423,WH112038,2026-02-14,2026-03-01,Delivered,Paid
SYSPO0000024,PO712982,SUP125611,WH686075,2026-03-23,2026-04-06,Delivered,Paid
SYSPO0000025,PO245051,SUP982554,WH324082,2025-08-12,2025-08-29,Delivered,Paid
SYSPO0000026,PO214975,SUP793655,WH532322,2026-03-07,2026-03-18,Delivered,Paid
SYSPO0000027,PO725380,SUP807617,WH599948,2025-10-18,2025-11-05,Delivered,Pending
SYSPO0000028,PO654816,SUP685181,WH922157,2026-05-07,2026-05-24,Delivered,Paid
SYSPO0000029,PO813328,SUP439498,WH322086,2026-04-11,2026-04-23,Delivered,Paid
SYSPO0000030,PO379786,SUP795613,WH519066,2026-05-01,2026-05-12,Delivered,Paid
SYSPO0000031,PO265840,SUP522179,WH460663,2026-03-01,2026-03-18,Delivered,Paid
SYSPO0000032,PO376183,SUP685181,WH922157,2026-01-11,2026-01-28,Delayed,Pending
SYSPO0000033,PO632342,SUP439498,WH771088,2025-10-26,2025-11-07,Delayed,Pending
SYSPO0000034,PO412942,SUP738720,WH515011,2026-01-23,2026-02-10,Delivered,Paid
SYSPO0000035,PO492077,SUP514850,WH770487,2026-03-18,2026-03-31,Delivered,Paid
SYSPO0000036,PO656116,SUP795613,WH567574,2025-11-18,2025-11-29,Delayed,Pending
SYSPO0000037,PO612340,SUP290556,WH112038,2026-06-12,2026-06-23,Delivered,Paid
SYSPO0000038,PO972064,SUP725550,WH356150,2026-07-05,2026-07-19,Delivered,Paid
SYSPO0000039,PO694916,SUP843215,WH997546,2025-08-04,2025-08-21,Delayed,Pending
SYSPO0000040,PO609597,SUP528361,WH771088,2026-05-23,2026-06-10,Delivered,Paid
SYSPO0000041,PO231869,SUP522179,WH329974,2026-06-10,2026-06-27,Delivered,Paid
SYSPO0000042,PO377932,SUP970127,WH922157,2025-10-03,2025-10-18,Delivered,Pending
SYSPO0000043,PO665492,SUP514850,WH460663,2026-04-30,2026-05-13,Delivered,Paid
SYSPO0000044,PO518373,SUP475190,WH174441,2026-01-13,2026-01-28,Delayed,Pending
SYSPO0000045,PO559381,SUP270395,WH686075,2025-12-12,2025-12-28,Delivered,Paid
SYSPO0000046,PO167136,SUP123005,WH656116,2025-11-17,2025-12-06,Delivered,Paid
SYSPO0000047,PO330914,SUP162535,WH808011,2025-10-01,2025-10-14,Delivered,Paid
SYSPO0000048,PO170674,SUP797229,WH324082,2025-10-24,2025-11-09,Delayed,Pending
SYSPO0000049,PO174299,SUP350405,WH212235,2026-05-25,2026-06-10,Delivered,Paid
SYSPO0000050,PO665427,SUP797229,WH658582,2025-12-10,2025-12-26,Delivered,Paid
SYSPO0000051,PO595631,SUP162535,WH205907,2025-09-10,2025-09-23,Delivered,Paid
SYSPO0000052,PO198907,SUP290556,WH808011,2025-09-07,2025-09-18,Delivered,Paid
SYSPO0000053,PO589710,SUP677596,WH519066,2025-12-27,2026-01-05,Delivered,Paid
SYSPO0000054,PO777568,SUP350405,WH690341,2025-09-08,2025-09-24,Delivered,Paid
SYSPO0000055,PO214576,SUP475190,WH422451,2025-12-19,2026-01-03,Delivered,Paid
SYSPO0000056,PO542374,SUP717024,WH322086,2026-06-27,2026-07-12,Delivered,Paid
SYSPO0000057,PO179046,SUP290556,WH274389,2025-12-13,2025-12-24,Delivered,Paid
SYSPO0000058,PO153045,SUP500156,WH380746,2026-03-24,2026-04-06,Delivered,Paid
SYSPO0000059,PO197793,SUP786735,WH781453,2025-11-12,2025-11-29,Delayed,Pending
SYSPO0000060,PO274389,SUP216970,WH686075,2026-06-11,2026-06-29,Delivered,Paid
SYSPO0000061,PO161483,SUP207570,WH829716,2025-08-18,2025-09-11,Cancelled,Cancelled
SYSPO0000062,PO509386,SUP475190,WH690341,2026-05-12,2026-05-27,Delivered,Paid
SYSPO0000063,PO543555,SUP697530,WH112038,2026-01-27,2026-02-08,Delivered,Paid
SYSPO0000064,PO794022,SUP965845,WH526833,2026-02-26,2026-03-16,Delivered,Paid
SYSPO0000065,PO161324,SUP498382,WH526833,2025-09-19,2025-10-11,Delivered,Paid
SYSPO0000066,PO159942,SUP824586,WH816751,2026-07-26,2026-08-11,In Transit,Pending
SYSPO0000067,PO994141,SUP270395,WH656116,2025-12-27,2026-01-12,Delivered,Paid
SYSPO0000068,PO992697,SUP377405,WH636265,2025-09-01,2025-10-03,Delivered,Paid
SYSPO0000069,PO346629,SUP399607,WH770487,2026-03-04,2026-03-24,Delivered,Paid
SYSPO0000070,PO707040,SUP738720,WH324082,2025-11-23,2025-12-11,Delivered,Paid
SYSPO0000071,PO712024,SUP580547,WH582662,2026-06-20,2026-07-12,Delivered,Paid
SYSPO0000072,PO802258,SUP725550,WH686075,2026-04-03,2026-04-17,Delivered,Paid
SYSPO0000073,PO804318,SUP717024,WH910891,2026-03-30,2026-04-14,Delivered,Paid
SYSPO0000074,PO176066,SUP824156,WH262316,2026-07-11,2026-07-15,Delivered,Paid
SYSPO0000075,PO204837,SUP946721,WH662336,2026-07-02,2026-07-20,Delivered,Paid
SYSPO0000076,PO465962,SUP242254,WH686075,2025-12-20,2026-01-04,Delivered,Paid
SYSPO0000077,PO265409,SUP131244,WH771088,2026-03-14,2026-03-25,Delivered,Paid
SYSPO0000078,PO946305,SUP573489,WH422451,2025-10-15,2025-10-21,Cancelled,Cancelled
SYSPO0000079,PO956795,SUP797229,WH910891,2026-05-02,2026-05-18,Delivered,Paid
SYSPO0000080,PO240814,SUP982554,WH656116,2025-08-29,2025-09-15,Delivered,Paid
SYSPO0000081,PO262998,SUP714953,WH824586,2025-08-19,2025-09-04,Delivered,Paid
SYSPO0000082,PO313487,SUP120422,WH376807,2026-04-15,2026-04-30,Delivered,Paid
SYSPO0000083,PO363319,SUP975467,WH274389,2025-10-29,2025-11-05,Delayed,Pending
SYSPO0000084,PO196781,SUP338533,WH429164,2026-05-29,2026-06-16,Delivered,Paid
SYSPO0000085,PO449759,SUP399105,WH356150,2025-11-22,2025-12-04,Delivered,Paid
SYSPO0000086,PO877236,SUP770487,WH482364,2025-09-01,2025-09-13,Delivered,Paid
SYSPO0000087,PO217308,SUP131244,WH686075,2026-06-30,2026-07-11,Delivered,Paid
SYSPO0000088,PO672092,SUP340044,WH690341,2025-10-31,2025-11-04,Delivered,Paid
SYSPO0000089,PO550664,SUP965845,WH412942,2026-07-04,2026-07-22,Delivered,Paid
SYSPO0000090,PO934794,SUP923927,WH237174,2025-09-10,2025-10-01,Cancelled,Cancelled
SYSPO0000091,PO475190,SUP528361,WH654634,2025-12-27,2026-01-14,Delivered,Paid
SYSPO0000092,PO918011,SUP575755,WH958179,2025-11-17,2025-12-06,Delivered,Pending
SYSPO0000093,PO885884,SUP120422,WH460663,2026-01-25,2026-02-09,Delivered,Paid
SYSPO0000094,PO938742,SUP522179,WH356150,2026-04-05,2026-04-22,Delivered,Paid
SYSPO0000095,PO872343,SUP475190,WH356150,2026-06-21,2026-07-06,Delayed,Pending
SYSPO0000096,PO531712,SUP329974,WH191161,2025-12-21,2026-01-03,Delivered,Paid
SYSPO0000097,PO379766,SUP437758,WH532322,2025-10-04,2025-10-16,Delivered,Paid
SYSPO0000098,PO140605,SUP953085,WH329974,2025-12-23,2026-01-09,Delivered,Paid
SYSPO0000099,PO582662,SUP697530,WH100425,2025-12-17,2025-12-29,Delivered,Paid
SYSPO0000100,PO333752,SUP725550,WH100425,2025-10-22,2025-11-05,Delivered,Paid
SYSPO0000101,PO172792,SUP891937,WH519066,2026-04-19,2026-04-25,Delayed,Pending
SYSPO0000102,PO772642,SUP807617,WH191161,2025-11-13,2025-12-01,Delivered,Paid
SYSPO0000103,PO447235,SUP913423,WH824586,2026-05-01,2026-05-16,Delayed,Pending
SYSPO0000104,PO373903,SUP290556,WH112038,2026-07-31,2026-08-11,In Transit,Pending
SYSPO0000105,PO378361,SUP717889,WH526117,2026-04-24,2026-05-12,Delivered,Paid
SYSPO0000106,PO924629,SUP793655,WH373903,2026-04-10,2026-04-21,Delivered,Paid
SYSPO0000107,PO503906,SUP970127,WH324082,2025-08-29,2025-09-13,Delivered,Paid
SYSPO0000108,PO557239,SUP953085,WH808011,2026-03-26,2026-04-12,Delivered,Paid
SYSPO0000109,PO854377,SUP437758,WH997546,2026-04-05,2026-04-17,Delayed,Pending
SYSPO0000110,PO306606,SUP329974,WH658582,2025-10-07,2025-10-20,Delivered,Paid
SYSPO0000111,PO446239,SUP953085,WH112038,2026-02-25,2026-03-14,Delivered,Paid
SYSPO0000112,PO414910,SUP131244,WH539589,2026-05-12,2026-05-23,Delivered,Paid
SYSPO0000113,PO831076,SUP514850,WH997546,2025-11-05,2025-11-18,Delivered,Paid
SYSPO0000114,PO497562,SUP575755,WH539589,2025-10-04,2025-10-23,Delivered,Paid
SYSPO0000115,PO415568,SUP475190,WH100425,2026-01-28,2026-02-12,Delivered,Paid
SYSPO0000116,PO320392,SUP120422,WH539589,2025-12-27,2026-01-11,Delivered,Paid
SYSPO0000117,PO587575,SUP757937,WH356150,2025-11-14,2025-11-20,Delivered,Paid
SYSPO0000118,PO932291,SUP529893,WH519066,2026-07-27,2026-08-17,Processing,Pending
SYSPO0000119,PO277934,SUP270395,WH740967,2026-04-07,2026-04-23,Delivered,Paid
SYSPO0000120,PO749342,SUP575755,WH356150,2026-04-26,2026-05-15,Delivered,Paid
SYSPO0000121,PO805477,SUP216970,WH801474,2026-03-06,2026-03-24,Delivered,Paid
SYSPO0000122,PO148458,SUP162535,WH785197,2025-10-26,2025-11-08,Delivered,Paid
SYSPO0000123,PO176365,SUP960394,WH555884,2026-04-24,2026-05-01,Delivered,Paid
SYSPO0000124,PO853240,SUP913423,WH808011,2025-12-05,2025-12-20,Delivered,Paid
SYSPO0000125,PO787926,SUP600149,WH636265,2026-06-25,2026-07-13,Delivered,Paid
SYSPO0000126,PO211764,SUP437758,WH519066,2026-05-27,2026-06-08,Delivered,Paid
SYSPO0000127,PO829716,SUP432043,WH174441,2026-05-30,2026-06-15,Delivered,Paid
SYSPO0000128,PO989545,SUP475190,WH832052,2025-08-23,2025-09-07,Delivered,Paid
SYSPO0000129,PO656932,SUP824586,WH816751,2025-10-29,2025-11-14,Delayed,Pending
SYSPO0000130,PO891937,SUP399105,WH262316,2026-06-17,2026-06-29,Delivered,Paid
SYSPO0000131,PO629298,SUP314181,WH922157,2025-08-14,2025-09-07,Delivered,Paid
SYSPO0000132,PO266889,SUP982554,WH324082,2026-06-10,2026-06-27,Delivered,Paid
SYSPO0000133,PO359249,SUP824586,WH174441,2025-12-02,2025-12-18,Delivered,Paid
SYSPO0000134,PO608136,SUP377405,WH515011,2026-01-04,2026-02-05,Delivered,Paid
SYSPO0000135,PO399607,SUP943718,WH922157,2025-11-13,2025-11-19,Delivered,Paid
SYSPO0000136,PO184491,SUP290556,WH829716,2025-08-27,2025-09-07,Delivered,Paid
SYSPO0000137,PO840734,SUP290556,WH686075,2025-10-22,2025-11-02,Delivered,Paid
SYSPO0000138,PO588557,SUP725550,WH785197,2026-07-22,2026-08-05,In Transit,Pending
SYSPO0000139,PO540552,SUP329974,WH690341,2026-03-10,2026-03-23,Delivered,Paid
