PurchaseOrderItemSysID,PurchaseOrderItemID,PurchaseOrderID,ProductID,QuantityOrdered,ReceivedQuantity,AcceptedQuantity,QuotedUnitCost,TotalItemCost,InspectionStatus,LineAmountBeforeTax,TaxRate,TaxAmount,LineAmountAfterTax
SYSPOI0000001,POI246316,PO770487,PROD138436,10,10,9,39868.8,398688.0,Failed,398688.0,18,71763.84,470451.84
SYSPOI0000002,POI671858,PO770487,PROD922458,457,457,433,209.4,95695.8,Failed,95695.8,12,11483.5,107179.3
SYSPOI0000003,POI198246,PO770487,PROD558723,124,124,121,827.58,102619.92,Passed with Observations,102619.92,12,12314.39,114934.31
SYSPOI0000004,POI688508,PO770487,PROD533911,16,16,15,74902.35,1198437.6,Failed,1198437.6,18,215718.77,1414156.37
SYSPOI0000005,POI539898,PO770487,PROD176066,16,16,15,89188.09,1427009.44,Failed,1427009.44,18,256861.7,1683871.14
SYSPOI0000006,POI106814,PO770487,PROD544730,192,192,187,468.18,89890.56,Passed with Observations,89890.56,12,10786.87,100677.43
SYSPOI0000007,POI391369,PO770487,PROD355021,468,445,434,2332.02,1091385.36,Passed with Observations,1091385.36,12,130966.24,1222351.6
SYSPOI0000008,POI207175,PO770487,PROD213609,159,159,152,777.05,123550.95,Passed with Observations,123550.95,12,14826.11,138377.06
SYSPOI0000009,POI377370,PO246316,PROD926394,13,13,13,141958.74,1845463.62,Passed,1845463.62,18,332183.45,2177647.07
SYSPOI0000010,POI230889,PO246316,PROD237174,493,493,487,292.53,144217.29,Passed with Observations,144217.29,12,17306.07,161523.36
SYSPOI0000011,POI759176,PO246316,PROD649577,273,273,271,1198.8,327272.4,Passed with Observations,327272.4,12,39272.69,366545.09
SYSPOI0000012,POI172933,PO191161,PROD273148,28,0,0,62986.84,1763631.52,Not Inspected,1763631.52,18,317453.67,2081085.19
SYSPOI0000013,POI910620,PO191161,PROD451470,103,0,0,1356.77,139747.31,Not Inspected,139747.31,12,16769.68,156516.99
SYSPOI0000014,POI996865,PO191161,PROD648102,228,0,0,509.69,116209.32,Not Inspected,116209.32,12,13945.12,130154.44
SYSPOI0000015,POI498591,PO191161,PROD678727,776,0,0,284.61,220857.36,Not Inspected,220857.36,12,26502.88,247360.24
SYSPOI0000016,POI974628,PO191161,PROD975679,222,0,0,2341.28,519764.16,Not Inspected,519764.16,12,62371.7,582135.86
SYSPOI0000017,POI472528,PO191161,PROD258787,1047,0,0,97.97,102574.59,Not Inspected,102574.59,5,5128.73,107703.32
SYSPOI0000018,POI835911,PO191161,PROD121215,16,0,0,144253.08,2308049.28,Not Inspected,2308049.28,18,415448.87,2723498.15
SYSPOI0000019,POI864544,PO198246,PROD648410,116,116,116,233.52,27088.32,Passed,27088.32,12,3250.6,30338.92
SYSPOI0000020,POI771088,PO198246,PROD865470,205,205,203,214.35,43941.75,Passed with Observations,43941.75,12,5273.01,49214.76
SYSPOI0000021,POI983794,PO198246,PROD502491,432,432,429,1809.11,781535.52,Passed with Observations,781535.52,12,93784.26,875319.78
SYSPOI0000022,POI430776,PO198246,PROD512022,414,414,410,214.95,88989.3,Passed with Observations,88989.3,12,10678.72,99668.02
SYSPOI0000023,POI694731,PO198246,PROD834233,1121,1121,1111,448.28,502521.88,Passed with Observations,502521.88,12,60302.63,562824.51
SYSPOI0000024,POI774079,PO198246,PROD407757,944,944,942,407.9,385057.6,Passed with Observations,385057.6,12,46206.91,431264.51
SYSPOI0000025,POI881177,PO198246,PROD534037,1239,1239,1230,476.26,590086.14,Passed with Observations,590086.14,12,70810.34,660896.48
SYSPOI0000026,POI549245,PO198246,PROD907236,367,367,362,973.22,357171.74,Passed with Observations,357171.74,12,42860.61,400032.35
SYSPOI0000027,POI634277,PO308496,PROD860242,265,265,257,831.38,220315.7,Passed with Observations,220315.7,12,26437.88,246753.58
SYSPOI0000028,POI214975,PO308496,PROD975679,332,332,329,2429.91,806730.12,Passed with Observations,806730.12,12,96807.61,903537.73
SYSPOI0000029,POI542666,PO308496,PROD533911,14,14,14,79163.36,1108287.04,Passed,1108287.04,18,199491.67,1307778.71
SYSPOI0000030,POI590785,PO308496,PROD898329,385,385,378,2310.96,889719.6,Passed with Observations,889719.6,12,106766.35,996485.95
SYSPOI0000031,POI112038,PO308496,PROD295892,1383,1383,1343,732.49,1013033.67,Passed with Observations,1013033.67,5,50651.68,1063685.35
SYSPOI0000032,POI663054,PO308496,PROD697347,31,31,30,42681.78,1323135.18,Passed with Observations,1323135.18,18,238164.33,1561299.51
SYSPOI0000033,POI216970,PO308496,PROD865433,34,34,33,64252.73,2184592.82,Passed with Observations,2184592.82,18,393226.71,2577819.53
SYSPOI0000034,POI854639,PO571029,PROD865433,15,15,14,64252.73,963790.95,Failed,963790.95,18,173482.37,1137273.32
SYSPOI0000035,POI211579,PO571029,PROD295892,839,767,745,732.49,614559.11,Passed with Observations,614559.11,5,30727.96,645287.07
SYSPOI0000036,POI738551,PO571029,PROD860242,400,400,390,831.38,332552.0,Passed with Observations,332552.0,12,39906.24,372458.24
SYSPOI0000037,POI665579,PO571029,PROD697347,16,16,16,42681.78,682908.48,Passed,682908.48,18,122923.53,805832.01
SYSPOI0000038,POI612340,PO571029,PROD952227,40,39,38,55117.81,2204712.4,Passed with Observations,2204712.4,18,396848.23,2601560.63
SYSPOI0000039,POI160738,PO944962,PROD729371,1043,991,981,404.72,422122.96,Passed with Observations,422122.96,5,21106.15,443229.11
SYSPOI0000040,POI609597,PO944962,PROD682144,793,787,774,137.83,109299.19,Passed with Observations,109299.19,12,13115.9,122415.09
SYSPOI0000041,POI234628,PO944962,PROD962287,441,381,369,68.2,30076.2,Passed with Observations,30076.2,12,3609.14,33685.34
SYSPOI0000042,POI377932,PO325772,PROD413369,40,0,0,108505.52,4340220.8,Not Inspected,4340220.8,18,781239.74,5121460.54
SYSPOI0000043,POI543692,PO325772,PROD899281,1380,0,0,618.91,854095.8,Not Inspected,854095.8,5,42704.79,896800.59
SYSPOI0000044,POI891952,PO325772,PROD551860,733,0,0,454.56,333192.48,Not Inspected,333192.48,5,16659.62,349852.1
SYSPOI0000045,POI847581,PO325772,PROD934042,33,0,0,79082.04,2609707.32,Not Inspected,2609707.32,18,469747.32,3079454.64
SYSPOI0000046,POI804314,PO325772,PROD329659,938,0,0,176.75,165791.5,Not Inspected,165791.5,5,8289.58,174081.08
SYSPOI0000047,POI642717,PO325772,PROD147489,412,0,0,1951.47,804005.64,Not Inspected,804005.64,12,96480.68,900486.32
SYSPOI0000048,POI335612,PO325772,PROD183667,311,0,0,1657.3,515420.3,Not Inspected,515420.3,12,61850.44,577270.74
SYSPOI0000049,POI716886,PO325772,PROD431699,431,0,0,473.32,204000.92,Not Inspected,204000.92,5,10200.05,214200.97
SYSPOI0000050,POI161733,PO197251,PROD392670,751,751,705,201.8,151551.8,Failed,151551.8,5,7577.59,159129.39
SYSPOI0000051,POI446479,PO197251,PROD381607,768,768,739,373.13,286563.84,Passed with Observations,286563.84,5,14328.19,300892.03
SYSPOI0000052,POI608993,PO197251,PROD800646,445,445,420,563.12,250588.4,Failed,250588.4,5,12529.42,263117.82
SYSPOI0000053,POI698782,PO197251,PROD546688,738,738,685,298.74,220470.12,Failed,220470.12,5,11023.51,231493.63
SYSPOI0000054,POI946721,PO197251,PROD277487,1480,1480,1431,155.04,229459.2,Passed with Observations,229459.2,5,11472.96,240932.16
SYSPOI0000055,POI551989,PO197251,PROD642895,1133,1133,1103,55.14,62473.62,Passed with Observations,62473.62,5,3123.68,65597.3
SYSPOI0000056,POI864491,PO197251,PROD454992,1025,1025,950,220.72,226238.0,Failed,226238.0,5,11311.9,237549.9
SYSPOI0000057,POI863587,PO377370,PROD802729,30,29,28,22970.62,689118.6,Passed with Observations,689118.6,18,124041.35,813159.95
SYSPOI0000058,POI299448,PO377370,PROD489043,994,987,967,531.56,528370.64,Passed with Observations,528370.64,5,26418.53,554789.17
SYSPOI0000059,POI392075,PO377370,PROD139581,27,27,27,73887.48,1994961.96,Passed,1994961.96,18,359093.15,2354055.11
SYSPOI0000060,POI997546,PO496922,PROD576919,37,36,35,127542.93,4719088.41,Passed with Observations,4719088.41,18,849435.91,5568524.32
SYSPOI0000061,POI666847,PO496922,PROD275377,361,361,351,225.37,81358.57,Passed with Observations,81358.57,12,9763.03,91121.6
SYSPOI0000062,POI347861,PO496922,PROD255851,330,282,274,156.67,51701.1,Passed with Observations,51701.1,12,6204.13,57905.23
SYSPOI0000063,POI520521,PO496922,PROD255061,15,15,15,25213.41,378201.15,Passed,378201.15,18,68076.21,446277.36
SYSPOI0000064,POI509386,PO496922,PROD384913,420,420,417,66.23,27816.6,Passed with Observations,27816.6,12,3337.99,31154.59
SYSPOI0000065,POI830429,PO496922,PROD178465,843,813,798,91.72,77319.96,Passed with Observations,77319.96,12,9278.4,86598.36
SYSPOI0000066,POI411120,PO479201,PROD374267,31,31,31,99879.13,3096253.03,Passed,3096253.03,18,557325.55,3653578.58
SYSPOI0000067,POI428838,PO479201,PROD768636,191,163,159,106.94,20425.54,Passed with Observations,20425.54,12,2451.06,22876.6
SYSPOI0000068,POI994141,PO479201,PROD968962,109,109,107,154.61,16852.49,Passed with Observations,16852.49,12,2022.3,18874.79
SYSPOI0000069,POI184002,PO479201,PROD373432,26,26,26,53275.94,1385174.44,Passed,1385174.44,18,249331.4,1634505.84
SYSPOI0000070,POI808011,PO479201,PROD308727,37,37,36,83357.34,3084221.58,Passed with Observations,3084221.58,18,555159.88,3639381.46
SYSPOI0000071,POI697347,PO479201,PROD944962,200,200,197,243.85,48770.0,Passed with Observations,48770.0,12,5852.4,54622.4
SYSPOI0000072,POI185965,PO479201,PROD946305,17,17,17,65797.58,1118558.86,Passed,1118558.86,18,201340.59,1319899.45
SYSPOI0000073,POI431737,PO479201,PROD213365,23,23,23,108101.65,2486337.95,Passed,2486337.95,18,447540.83,2933878.78
SYSPOI0000074,POI804318,PO338968,PROD132146,943,943,922,150.16,141600.88,Passed with Observations,141600.88,5,7080.04,148680.92
SYSPOI0000075,POI888387,PO338968,PROD735053,30,30,30,62187.61,1865628.3,Passed,1865628.3,18,335813.09,2201441.39
SYSPOI0000076,POI690341,PO338968,PROD372028,117,117,115,1707.45,199771.65,Passed with Observations,199771.65,12,23972.6,223744.25
SYSPOI0000077,POI378082,PO338968,PROD800646,504,504,495,614.74,309828.96,Passed with Observations,309828.96,5,15491.45,325320.41
SYSPOI0000078,POI487477,PO338968,PROD780027,14,13,13,79962.74,1119478.36,Passed,1119478.36,18,201506.1,1320984.46
SYSPOI0000079,POI946305,PO205907,PROD501936,24,23,22,88112.98,2114711.52,Passed with Observations,2114711.52,18,380648.07,2495359.59
SYSPOI0000080,POI413921,PO205907,PROD158896,1383,1383,1342,113.2,156555.6,Passed with Observations,156555.6,12,18786.67,175342.27
SYSPOI0000081,POI377312,PO205907,PROD731977,419,419,405,753.25,315611.75,Passed with Observations,315611.75,12,37873.41,353485.16
SYSPOI0000082,POI734210,PO205907,PROD267457,13,12,12,43768.46,568989.98,Passed,568989.98,18,102418.2,671408.18
SYSPOI0000083,POI765046,PO205907,PROD749137,16,16,16,128459.47,2055351.52,Passed,2055351.52,18,369963.27,2425314.79
SYSPOI0000084,POI153266,PO270555,PROD695551,25,25,24,78010.28,1950257.0,Passed with Observations,1950257.0,18,351046.26,2301303.26
SYSPOI0000085,POI146228,PO270555,PROD726822,12,12,11,17111.79,205341.48,Failed,205341.48,18,36961.47,242302.95
SYSPOI0000086,POI374680,PO270555,PROD449138,10,10,10,45843.69,458436.9,Passed,458436.9,18,82518.64,540955.54
SYSPOI0000087,POI548462,PO270555,PROD117031,15,15,14,80680.44,1210206.6,Failed,1210206.6,18,217837.19,1428043.79
SYSPOI0000088,POI824586,PO270555,PROD483629,367,367,351,255.66,93827.22,Passed with Observations,93827.22,12,11259.27,105086.49
SYSPOI0000089,POI143860,PO816751,PROD426147,98,96,94,797.14,78119.72,Passed with Observations,78119.72,12,9374.37,87494.09
SYSPOI0000090,POI141832,PO816751,PROD179710,237,237,234,165.22,39157.14,Passed with Observations,39157.14,12,4698.86,43856.0
SYSPOI0000091,POI799330,PO816751,PROD546815,38,38,37,81001.72,3078065.36,Passed with Observations,3078065.36,18,554051.76,3632117.12
SYSPOI0000092,POI526117,PO816751,PROD397846,13,13,13,37618.48,489040.24,Passed,489040.24,18,88027.24,577067.48
SYSPOI0000093,POI938742,PO864544,PROD289934,159,157,156,2224.69,353725.71,Passed with Observations,353725.71,12,42447.09,396172.8
SYSPOI0000094,POI288073,PO864544,PROD139581,35,35,35,78259.87,2739095.45,Passed,2739095.45,18,493037.18,3232132.63
