SalesSysID,SalesID,SalesDate,StoreID,ProductID,QuantitySold,UnitSellingPrice,DiscountPercentage,ReturnedQuantity,SaleType
SYSSALE0000001,SALE809570,2026-10-18,STR770487,PROD753425,3,415.79,10,0,Promotion
SYSSALE0000002,SALE731262,2026-02-20,STR770487,PROD984247,7,231.36,0,1,Regular
SYSSALE0000003,SALE948749,2026-11-25,STR770487,PROD476417,3,76838.4,5,0,Regular
SYSSALE0000004,SALE900581,2026-01-24,STR770487,PROD286450,1,117944.7,5,0,Regular
SYSSALE0000005,SALE865179,2026-02-01,STR770487,PROD262325,26,1335.43,5,0,Regular
SYSSALE0000006,SALE479201,2026-09-23,STR770487,PROD281162,2,58004.0,5,0,Regular
SYSSALE0000007,SALE996865,2026-01-26,STR770487,PROD753425,6,420.88,0,0,Regular
SYSSALE0000008,SALE802729,2026-08-28,STR770487,PROD650121,26,328.82,5,0,Regular
SYSSALE0000009,SALE584714,2026-08-25,STR770487,PROD409571,3,154404.63,0,0,Regular
SYSSALE0000010,SALE340174,2026-10-26,STR770487,PROD341292,19,255.28,5,0,Regular
SYSSALE0000011,SALE852787,2026-06-17,STR770487,PROD373903,12,1377.31,0,0,Regular
SYSSALE0000012,SALE881177,2026-09-09,STR770487,PROD158132,17,536.46,5,0,Regular
SYSSALE0000013,SALE245051,2026-01-24,STR770487,PROD724756,20,541.18,5,0,Regular
SYSSALE0000014,SALE542666,2026-09-13,STR770487,PROD851413,5,2060.86,10,0,Promotion
SYSSALE0000015,SALE112038,2026-10-04,STR770487,PROD907236,26,1353.73,5,0,Regular
SYSSALE0000016,SALE265840,2026-07-04,STR770487,PROD456871,19,278.06,20,0,Promotion
SYSSALE0000017,SALE755674,2026-06-13,STR770487,PROD728437,3,68174.83,0,0,Regular
SYSSALE0000018,SALE916449,2026-11-30,STR770487,PROD749137,3,181781.04,0,0,Regular
SYSSALE0000019,SALE972064,2026-10-08,STR770487,PROD735053,1,79407.16,5,1,Regular
SYSSALE0000020,SALE172574,2026-12-18,STR770487,PROD324345,3,397.66,0,0,Regular
SYSSALE0000021,SALE653306,2026-11-14,STR770487,PROD810189,6,1362.4,5,0,Regular
SYSSALE0000022,SALE518373,2026-12-21,STR770487,PROD220764,15,297.61,40,0,Clearance
SYSSALE0000023,SALE454508,2026-05-22,STR770487,PROD571435,13,263.17,5,0,Regular
SYSSALE0000024,SALE340062,2026-01-09,STR770487,PROD444207,1,14532.2,0,0,Regular
SYSSALE0000025,SALE665427,2026-08-28,STR770487,PROD343807,12,184.08,0,0,Regular
SYSSALE0000026,SALE201639,2026-10-12,STR770487,PROD913894,32,956.08,5,0,Regular
SYSSALE0000027,SALE203198,2026-07-06,STR770487,PROD791201,15,1179.93,0,0,Regular
SYSSALE0000028,SALE570405,2026-02-16,STR770487,PROD400814,2,152225.86,10,0,Promotion
SYSSALE0000029,SALE677057,2026-06-16,STR770487,PROD749137,2,188218.3,0,0,Regular
SYSSALE0000030,SALE324130,2026-11-29,STR770487,PROD605065,2,256.4,25,0,Clearance
SYSSALE0000031,SALE922157,2026-10-10,STR770487,PROD179046,1,39279.02,0,0,Regular
SYSSALE0000032,SALE161324,2026-09-18,STR770487,PROD453961,2,149783.62,5,0,Regular
SYSSALE0000033,SALE994141,2026-01-15,STR770487,PROD865433,1,90235.01,10,0,Promotion
SYSSALE0000034,SALE346629,2026-08-30,STR770487,PROD865470,34,243.74,0,0,Regular
SYSSALE0000035,SALE712024,2026-09-11,STR770487,PROD165142,20,729.58,0,0,Regular
SYSSALE0000036,SALE804318,2026-09-15,STR770487,PROD878480,18,154.07,5,0,Regular
SYSSALE0000037,SALE204837,2026-02-24,STR770487,PROD978292,12,909.12,25,5,Clearance
SYSSALE0000038,SALE487477,2026-04-23,STR770487,PROD482614,3,183201.36,5,0,Regular
SYSSALE0000039,SALE654634,2026-07-29,STR770487,PROD966529,3,90975.44,20,0,Promotion
SYSSALE0000040,SALE221035,2026-11-24,STR770487,PROD189856,19,1119.12,0,0,Regular
SYSSALE0000041,SALE765046,2026-11-17,STR770487,PROD865470,11,245.42,0,0,Regular
SYSSALE0000042,SALE390120,2026-03-27,STR770487,PROD107459,2,69487.51,0,0,Regular
SYSSALE0000043,SALE839945,2026-01-03,STR770487,PROD421549,1,137453.13,5,0,Regular
SYSSALE0000044,SALE710805,2026-09-14,STR770487,PROD375097,9,499.67,0,0,Regular
SYSSALE0000045,SALE141832,2026-11-07,STR770487,PROD612573,1,89684.91,5,0,Regular
SYSSALE0000046,SALE526117,2026-12-24,STR770487,PROD906010,9,624.61,5,0,Regular
SYSSALE0000047,SALE950155,2026-04-16,STR770487,PROD138436,1,57900.97,25,0,Clearance
SYSSALE0000048,SALE802448,2026-11-26,STR770487,PROD745972,2,90.17,5,0,Regular
SYSSALE0000049,SALE593554,2026-07-29,STR770487,PROD317782,17,293.69,0,0,Regular
SYSSALE0000050,SALE517821,2026-08-10,STR770487,PROD526949,16,541.97,0,0,Regular
SYSSALE0000051,SALE812526,2026-12-18,STR770487,PROD456871,4,281.08,30,0,Clearance
SYSSALE0000052,SALE708792,2026-12-09,STR770487,PROD914571,2,53742.83,25,0,Clearance
SYSSALE0000053,SALE557592,2026-09-17,STR770487,PROD810189,3,1405.23,5,0,Regular
SYSSALE0000054,SALE101773,2026-07-26,STR770487,PROD285413,9,1797.14,0,0,Regular
SYSSALE0000055,SALE796503,2026-11-20,STR770487,PROD682144,19,179.44,0,0,Regular
SYSSALE0000056,SALE424308,2026-10-11,STR770487,PROD486649,12,451.71,0,0,Regular
SYSSALE0000057,SALE497562,2026-10-29,STR770487,PROD851763,2,31468.53,0,0,Regular
SYSSALE0000058,SALE418635,2026-04-21,STR770487,PROD883641,1,195943.51,5,0,Regular
SYSSALE0000059,SALE932291,2026-11-26,STR770487,PROD664607,22,117.09,5,0,Regular
SYSSALE0000060,SALE451470,2026-07-12,STR770487,PROD471371,12,2028.81,5,0,Regular
SYSSALE0000061,SALE148458,2026-05-02,STR770487,PROD426147,17,941.94,0,0,Regular
SYSSALE0000062,SALE519066,2026-06-17,STR770487,PROD302177,6,1112.69,0,0,Regular
SYSSALE0000063,SALE943170,2026-12-17,STR770487,PROD939717,2,161.32,10,0,Promotion
SYSSALE0000064,SALE239816,2026-10-22,STR770487,PROD793223,2,151599.43,0,0,Regular
SYSSALE0000065,SALE564071,2026-09-24,STR770487,PROD735656,3,155558.58,40,0,Clearance
SYSSALE0000066,SALE597732,2026-07-12,STR770487,PROD671858,34,1042.58,5,0,Regular
SYSSALE0000067,SALE757193,2026-04-23,STR770487,PROD951452,9,736.22,15,0,Promotion
SYSSALE0000068,SALE666390,2026-02-08,STR770487,PROD751303,6,137.06,10,0,Promotion
SYSSALE0000069,SALE527398,2026-04-30,STR770487,PROD645007,9,1551.4,0,0,Regular
SYSSALE0000070,SALE829308,2026-08-14,STR770487,PROD377304,15,234.0,5,0,Regular
SYSSALE0000071,SALE508930,2026-11-27,STR770487,PROD700067,20,907.46,0,0,Regular
SYSSALE0000072,SALE609232,2026-03-28,STR770487,PROD703139,28,3357.79,0,0,Regular
SYSSALE0000073,SALE660069,2026-04-11,STR770487,PROD768636,27,135.28,15,0,Promotion
SYSSALE0000074,SALE584125,2026-03-08,STR770487,PROD219946,3,37631.76,0,0,Regular
SYSSALE0000075,SALE497542,2026-08-01,STR770487,PROD948179,2,24814.44,5,0,Regular
SYSSALE0000076,SALE154615,2026-12-12,STR770487,PROD403742,28,1831.89,0,0,Regular
SYSSALE0000077,SALE309044,2026-10-20,STR770487,PROD851413,16,2076.78,0,0,Regular
SYSSALE0000078,SALE328552,2026-03-07,STR770487,PROD384913,6,82.75,5,0,Regular
SYSSALE0000079,SALE426147,2026-01-07,STR770487,PROD823975,25,214.59,0,0,Regular
SYSSALE0000080,SALE179688,2026-09-27,STR770487,PROD421080,2,99502.25,5,0,Regular
SYSSALE0000081,SALE226935,2026-10-19,STR770487,PROD176066,3,138129.62,5,0,Regular
SYSSALE0000082,SALE778998,2026-08-06,STR770487,PROD722665,4,304.85,5,0,Regular
SYSSALE0000083,SALE968962,2026-02-09,STR770487,PROD121215,2,201250.82,10,0,Promotion
SYSSALE0000084,SALE912270,2026-04-22,STR770487,PROD341162,15,934.31,5,0,Regular
SYSSALE0000085,SALE572700,2026-04-29,STR770487,PROD851413,19,1989.57,0,0,Regular
SYSSALE0000086,SALE440802,2026-02-24,STR770487,PROD265649,20,616.7,5,0,Regular
SYSSALE0000087,SALE389688,2026-09-17,STR770487,PROD737086,2,103858.62,15,0,Promotion
SYSSALE0000088,SALE824156,2026-07-02,STR770487,PROD324130,8,142.67,5,0,Regular
SYSSALE0000089,SALE825391,2026-06-19,STR770487,PROD179710,33,205.33,0,0,Regular
SYSSALE0000090,SALE446859,2026-04-27,STR770487,PROD245998,3,73991.58,5,0,Regular
SYSSALE0000091,SALE225362,2026-10-31,STR770487,PROD787436,2,133483.65,0,0,Regular
SYSSALE0000092,SALE897135,2026-03-14,STR770487,PROD135035,7,339.66,5,0,Regular
SYSSALE0000093,SALE114835,2026-10-05,STR770487,PROD497108,1,103669.78,15,0,Promotion
SYSSALE0000094,SALE232413,2026-09-25,STR770487,PROD851413,19,2051.3,0,0,Regular
SYSSALE0000095,SALE561865,2026-01-14,STR770487,PROD742412,2,206245.81,0,0,Regular
SYSSALE0000096,SALE615633,2026-06-11,STR770487,PROD761532,2,135125.73,30,0,Clearance
SYSSALE0000097,SALE685181,2026-10-20,STR770487,PROD713799,3,293.73,5,0,Regular
SYSSALE0000098,SALE564226,2026-05-31,STR770487,PROD697347,3,60537.33,10,0,Promotion
SYSSALE0000099,SALE899787,2026-02-24,STR770487,PROD533911,2,92806.64,0,0,Regular
SYSSALE0000100,SALE264136,2026-04-26,STR770487,PROD158104,10,334.6,0,0,Regular
SYSSALE0000101,SALE576086,2026-03-01,STR770487,PROD159532,32,747.27,0,0,Regular
SYSSALE0000102,SALE307428,2026-05-20,STR770487,PROD948179,2,24866.45,20,0,Promotion
SYSSALE0000103,SALE273982,2026-10-20,STR770487,PROD321275,9,906.44,5,0,Regular
SYSSALE0000104,SALE833723,2026-03-11,STR770487,PROD381444,20,336.88,30,0,Clearance
SYSSALE0000105,SALE553014,2026-10-20,STR770487,PROD867541,18,335.42,5,0,Regular
SYSSALE0000106,SALE703139,2026-09-01,STR770487,PROD648102,18,594.9,0,0,Regular
SYSSALE0000107,SALE783157,2026-03-13,STR770487,PROD788772,3,174548.7,20,1,Promotion
SYSSALE0000108,SALE195674,2026-04-15,STR770487,PROD726822,1,21060.69,30,0,Clearance
SYSSALE0000109,SALE827369,2026-06-19,STR770487,PROD812591,12,488.69,0,0,Regular
SYSSALE0000110,SALE438977,2026-07-17,STR770487,PROD262325,27,1303.2,20,2,Promotion
SYSSALE0000111,SALE533321,2026-05-13,STR770487,PROD865470,27,249.62,10,0,Promotion
SYSSALE0000112,SALE313446,2026-02-03,STR770487,PROD966529,2,90765.43,5,0,Regular
SYSSALE0000113,SALE738448,2026-10-23,STR770487,PROD473023,20,80.26,5,0,Regular
SYSSALE0000114,SALE982277,2026-11-15,STR770487,PROD199807,1,51401.58,0,0,Regular
SYSSALE0000115,SALE633590,2026-10-14,STR770487,PROD165142,5,740.42,0,0,Regular
SYSSALE0000116,SALE299869,2026-11-17,STR770487,PROD337547,17,1460.22,25,0,Clearance
SYSSALE0000117,SALE535098,2026-07-21,STR770487,PROD176066,3,139426.06,10,0,Promotion
SYSSALE0000118,SALE715448,2026-09-22,STR770487,PROD391865,34,49.74,0,0,Regular
SYSSALE0000119,SALE678727,2026-10-13,STR770487,PROD374267,2,129653.5,15,0,Promotion
SYSSALE0000120,SALE501574,2026-07-18,STR770487,PROD426147,31,946.3,25,0,Clearance
SYSSALE0000121,SALE504832,2026-12-26,STR770487,PROD372028,28,2525.36,5,0,Regular
SYSSALE0000122,SALE448121,2026-11-28,STR770487,PROD518098,11,662.39,0,0,Regular
SYSSALE0000123,SALE786587,2026-12-03,STR770487,PROD255851,16,204.53,5,3,Regular
SYSSALE0000124,SALE781403,2026-03-26,STR770487,PROD308727,2,118875.81,15,0,Promotion
SYSSALE0000125,SALE667296,2026-01-18,STR770487,PROD289934,26,3068.65,40,0,Clearance
SYSSALE0000126,SALE555052,2026-12-25,STR770487,PROD542042,9,367.22,5,0,Regular
SYSSALE0000127,SALE934816,2026-04-02,STR770487,PROD735605,5,104.11,5,0,Regular
SYSSALE0000128,SALE931016,2026-02-14,STR770487,PROD581532,13,1105.37,0,0,Regular
SYSSALE0000129,SALE711484,2026-04-29,STR770487,PROD491329,1,65748.5,5,0,Regular
SYSSALE0000130,SALE401603,2026-10-06,STR770487,PROD799565,18,247.47,0,0,Regular
SYSSALE0000131,SALE544920,2026-10-15,STR770487,PROD384913,4,81.67,5,0,Regular
SYSSALE0000132,SALE499889,2026-09-19,STR770487,PROD729371,11,544.68,5,0,Regular
SYSSALE0000133,SALE693419,2026-11-25,STR770487,PROD786224,11,1609.28,30,4,Clearance
SYSSALE0000134,SALE400096,2026-10-08,STR770487,PROD776364,5,805.3,40,0,Clearance
SYSSALE0000135,SALE810687,2026-10-25,STR770487,PROD934042,3,103641.44,10,0,Promotion
SYSSALE0000136,SALE707727,2026-02-03,STR770487,PROD638857,6,547.24,0,0,Regular
SYSSALE0000137,SALE238579,2026-10-29,STR770487,PROD834233,4,579.93,30,0,Clearance
SYSSALE0000138,SALE964749,2026-11-26,STR770487,PROD222629,13,214.91,5,0,Regular
SYSSALE0000139,SALE178957,2026-02-27,STR770487,PROD381444,11,333.22,15,0,Promotion
SYSSALE0000140,SALE483542,2026-04-12,STR770487,PROD883641,3,195664.1,15,0,Promotion
SYSSALE0000141,SALE805000,2026-04-08,STR770487,PROD373432,1,69679.41,0,0,Regular
SYSSALE0000142,SALE688678,2026-06-06,STR770487,PROD308296,25,220.92,0,0,Regular
SYSSALE0000143,SALE528129,2026-01-12,STR770487,PROD199807,1,51947.04,5,0,Regular
SYSSALE0000144,SALE663658,2026-04-27,STR770487,PROD221119,3,1504.75,5,0,Regular
SYSSALE0000145,SALE535037,2026-10-27,STR770487,PROD243902,2,18658.66,5,0,Regular
SYSSALE0000146,SALE566297,2026-12-28,STR770487,PROD199868,17,371.79,5,6,Regular
SYSSALE0000147,SALE476096,2026-03-12,STR770487,PROD418594,2,31737.25,5,0,Regular
SYSSALE0000148,SALE770556,2026-09-01,STR770487,PROD513224,14,66.6,30,0,Clearance
SYSSALE0000149,SALE315173,2026-07-15,STR770487,PROD476417,1,77590.87,10,0,Promotion
SYSSALE0000150,SALE724932,2026-08-08,STR770487,PROD648410,15,327.13,0,0,Regular
SYSSALE0000151,SALE793169,2026-11-05,STR770487,PROD680493,11,1276.6,40,0,Clearance
SYSSALE0000152,SALE378258,2026-07-09,STR770487,PROD889216,2,1167.47,0,0,Regular
SYSSALE0000153,SALE638169,2026-09-15,STR770487,PROD714953,2,100556.7,0,0,Regular
SYSSALE0000154,SALE790909,2026-04-28,STR770487,PROD934638,34,310.49,0,0,Regular
SYSSALE0000155,SALE213206,2026-08-21,STR770487,PROD642895,2,72.07,5,0,Regular
SYSSALE0000156,SALE232321,2026-06-12,STR770487,PROD208310,16,906.04,0,0,Regular
SYSSALE0000157,SALE409222,2026-06-04,STR770487,PROD456871,20,282.31,5,0,Regular
SYSSALE0000158,SALE906315,2026-09-28,STR770487,PROD810189,15,1395.89,0,0,Regular
SYSSALE0000159,SALE518098,2026-01-25,STR770487,PROD476018,1,31629.03,0,0,Regular
SYSSALE0000160,SALE597305,2026-08-01,STR770487,PROD859364,2,76214.6,5,0,Regular
SYSSALE0000161,SALE236435,2026-09-19,STR770487,PROD612530,7,862.79,0,0,Regular
SYSSALE0000162,SALE886730,2026-08-23,STR770487,PROD926730,3,26445.61,0,0,Regular
SYSSALE0000163,SALE632060,2026-06-18,STR770487,PROD776909,5,1537.99,40,0,Clearance
SYSSALE0000164,SALE220465,2026-10-19,STR770487,PROD757711,2,21993.65,0,0,Regular
SYSSALE0000165,SALE743378,2026-10-18,STR770487,PROD627262,1,79039.68,20,0,Promotion
SYSSALE0000166,SALE423993,2026-11-12,STR770487,PROD757711,1,22153.43,5,1,Regular
SYSSALE0000167,SALE248766,2026-10-01,STR770487,PROD763984,1,150035.39,0,0,Regular
SYSSALE0000168,SALE265055,2026-07-04,STR770487,PROD716493,4,651.74,10,0,Promotion
SYSSALE0000169,SALE263137,2026-06-08,STR770487,PROD678727,12,363.49,20,0,Promotion
SYSSALE0000170,SALE736565,2026-03-11,STR770487,PROD558723,5,1091.48,5,0,Regular
SYSSALE0000171,SALE811163,2026-10-16,STR770487,PROD446968,1,86112.81,10,0,Promotion
SYSSALE0000172,SALE157443,2026-03-19,STR770487,PROD221707,35,685.05,0,0,Regular
SYSSALE0000173,SALE621546,2026-10-06,STR770487,PROD875232,8,373.85,15,0,Promotion
SYSSALE0000174,SALE945362,2026-04-12,STR770487,PROD906010,6,623.06,0,0,Regular
SYSSALE0000175,SALE703727,2026-04-14,STR770487,PROD940247,3,50.8,5,0,Regular
SYSSALE0000176,SALE748151,2026-06-26,STR770487,PROD132146,15,195.81,5,3,Regular
SYSSALE0000177,SALE649414,2026-08-11,STR770487,PROD261771,25,1501.72,0,0,Regular
SYSSALE0000178,SALE635280,2026-09-17,STR770487,PROD409355,2,63573.13,10,0,Promotion
SYSSALE0000179,SALE776796,2026-10-08,STR770487,PROD605065,34,262.44,5,0,Regular
SYSSALE0000180,SALE896028,2026-10-06,STR770487,PROD851759,8,71.57,0,0,Regular
SYSSALE0000181,SALE774225,2026-09-20,STR770487,PROD486649,17,464.91,5,0,Regular
SYSSALE0000182,SALE591699,2026-03-19,STR770487,PROD477880,22,135.23,20,0,Promotion
