ShipmentSysID,ShipmentID,PurchaseOrderID,SupplierID,WarehouseID,ShipmentDate,ExpectedDeliveryDate,ActualDeliveryDate,Carrier,TransportMode,TrackingNumber,DistanceKM,TransitDays,DelayDays,ShipmentStatus,FreightCost
SYSSHP0000001,SHP0000001,PO770487,SUP946721,WH100425,2026-04-09,2026-04-25,2026-04-25,Delhivery,Road,TRK890779946,1609,8,0,Delivered,36222.57
SYSSHP0000002,SHP0000002,PO246316,SUP528361,WH555884,2025-09-15,2025-10-02,2025-10-02,Delhivery,Rail,TRK349817734,1416,5,0,Delivered,24102.33
SYSSHP0000003,SHP0000003,PO191161,SUP475190,WH686075,2025-08-13,2025-08-26,2025-08-27,Shadowfax,Road,TRK685126461,354,2,1,Delayed,8530.55
SYSSHP0000004,SHP0000004,PO198246,SUP943718,WH808011,2026-05-17,2026-05-22,2026-05-22,Delhivery,Road,TRK849621470,720,4,0,Delivered,17361.41
SYSSHP0000005,SHP0000005,PO308496,SUP384076,WH412942,2025-11-17,2025-11-30,2025-11-30,DHL,Road,TRK209747451,150,2,0,Delivered,3369.56
SYSSHP0000006,SHP0000006,PO571029,SUP384076,WH997546,2025-11-06,2025-11-19,2025-11-20,Shadowfax,Rail,TRK593303705,1330,7,1,Delayed,22802.73
SYSSHP0000007,SHP0000007,PO944962,SUP330080,WH429164,2025-10-28,2025-11-02,2025-11-02,DHL,Rail,TRK719927151,1075,6,0,Delivered,16951.84
SYSSHP0000008,SHP0000008,PO325772,SUP514850,WH324082,2025-09-25,2025-10-08,2025-10-08,DHL,Road,TRK185675980,345,2,0,Delivered,9065.42
SYSSHP0000009,SHP0000009,PO197251,SUP401601,WH100425,2026-05-15,2026-05-26,2026-05-26,Shadowfax,Road,TRK995619255,150,3,0,Delivered,3573.62
SYSSHP0000010,SHP0000010,PO377370,SUP393243,WH636265,2025-09-12,2025-09-26,2025-09-28,Shadowfax,Road,TRK795822698,1058,5,2,Delayed,23653.72
SYSSHP0000011,SHP0000011,PO496922,SUP725550,WH801474,2026-04-23,2026-05-05,2026-05-05,FedEx,Road,TRK389854268,1600,7,0,Delivered,43116.19
SYSSHP0000012,SHP0000012,PO479201,SUP205907,WH100425,2026-05-18,2026-06-03,2026-06-03,Shadowfax,Road,TRK448195935,150,4,0,Delivered,3932.14
SYSSHP0000013,SHP0000013,PO338968,SUP970127,WH324082,2026-07-14,2026-07-29,2026-07-29,FedEx,Road,TRK387484583,414,2,0,Delivered,9245.01
SYSSHP0000014,SHP0000014,PO205907,SUP500156,WH233470,2026-03-03,2026-03-14,2026-03-14,Shadowfax,Road,TRK636045484,715,6,0,Delivered,17144.38
SYSSHP0000015,SHP0000015,PO270555,SUP314181,WH274389,2025-09-05,2025-09-28,2025-09-28,Ecom Express,Road,TRK678722458,1616,7,0,Delivered,37674.95
SYSSHP0000016,SHP0000016,PO816751,SUP242254,WH770487,2026-03-21,2026-04-03,2026-04-03,Delhivery,Road,TRK647099690,2250,9,0,Delivered,55052.05
SYSSHP0000017,SHP0000017,PO864544,SUP131244,WH460663,2026-01-12,2026-01-23,2026-01-23,Shadowfax,Road,TRK553290810,396,2,0,Delivered,9892.89
SYSSHP0000018,SHP0000018,PO771088,SUP522179,WH422451,2025-08-15,2025-08-31,2025-08-31,Ecom Express,Road,TRK112327652,27,2,0,Delivered,685.84
SYSSHP0000019,SHP0000019,PO905635,SUP270395,WH922157,2025-08-15,2025-08-29,2025-08-30,DHL,Road,TRK219778234,534,3,1,Delayed,12531.65
SYSSHP0000020,SHP0000020,PO430776,SUP152578,WH422451,2025-09-07,2025-09-18,2025-09-19,DHL,Road,TRK637500247,980,6,1,Delayed,25293.61
SYSSHP0000021,SHP0000021,PO694731,SUP518373,WH922157,2025-10-27,2025-11-14,2025-11-14,Ecom Express,Road,TRK753876785,1339,8,0,Delivered,30789.71
SYSSHP0000022,SHP0000022,PO514850,SUP982554,WH829716,2025-10-31,2025-11-17,2025-11-17,FedEx,Road,TRK120912992,26,1,0,Delivered,586.54
SYSSHP0000023,SHP0000023,PO246413,SUP913423,WH112038,2026-02-15,2026-03-01,2026-03-01,Ecom Express,Road,TRK184564737,1043,4,0,Delivered,23392.68
SYSSHP0000024,SHP0000024,PO712982,SUP125611,WH686075,2026-03-25,2026-04-06,2026-04-06,FedEx,Road,TRK690347116,1295,7,0,Delivered,29559.2
SYSSHP0000025,SHP0000025,PO245051,SUP982554,WH324082,2025-08-14,2025-08-29,2025-08-31,Ecom Express,Road,TRK910959828,31,2,2,Delayed,795.14
SYSSHP0000026,SHP0000026,PO214975,SUP793655,WH532322,2026-03-09,2026-03-18,2026-03-18,Shadowfax,Road,TRK797801251,21,2,0,Delivered,501.21
SYSSHP0000027,SHP0000027,PO725380,SUP807617,WH599948,2025-10-20,2025-11-05,2025-11-05,Delhivery,Road,TRK168747287,345,3,0,Delivered,8173.2
SYSSHP0000028,SHP0000028,PO654816,SUP685181,WH922157,2026-05-09,2026-05-24,2026-05-24,Shadowfax,Road,TRK777641645,1504,7,0,Delivered,33530.73
SYSSHP0000029,SHP0000029,PO813328,SUP439498,WH322086,2026-04-11,2026-04-23,2026-04-23,Delhivery,Road,TRK399012686,17,2,0,Delivered,430.86
SYSSHP0000030,SHP0000030,PO379786,SUP795613,WH519066,2026-05-03,2026-05-12,2026-05-12,Delhivery,Road,TRK942478695,738,6,0,Delivered,17981.27
SYSSHP0000031,SHP0000031,PO265840,SUP522179,WH460663,2026-03-01,2026-03-18,2026-03-18,DHL,Road,TRK554814084,530,2,0,Delivered,12749.42
SYSSHP0000032,SHP0000032,PO376183,SUP685181,WH922157,2026-01-13,2026-01-28,2026-01-28,Shadowfax,Rail,TRK464323393,1793,5,0,Delivered,32636.85
SYSSHP0000033,SHP0000033,PO632342,SUP439498,WH771088,2025-10-26,2025-11-07,2025-11-07,FedEx,Road,TRK297018781,523,4,0,Delivered,12234.4
SYSSHP0000034,SHP0000034,PO412942,SUP738720,WH515011,2026-01-23,2026-02-10,2026-02-10,Ecom Express,Road,TRK205128697,20,1,0,Delivered,445.06
SYSSHP0000035,SHP0000035,PO492077,SUP514850,WH770487,2026-03-18,2026-03-31,2026-03-31,Delhivery,Road,TRK278575192,2150,6,0,Delivered,51668.95
SYSSHP0000036,SHP0000036,PO656116,SUP795613,WH567574,2025-11-19,2025-11-29,2025-11-29,Blue Dart,Road,TRK519212169,1285,6,0,Delivered,29973.93
SYSSHP0000037,SHP0000037,PO612340,SUP290556,WH112038,2026-06-13,2026-06-23,2026-06-23,Shadowfax,Road,TRK941128035,660,5,0,Delivered,16354.04
SYSSHP0000038,SHP0000038,PO972064,SUP725550,WH356150,2026-07-05,2026-07-19,2026-07-19,Blue Dart,Road,TRK721890096,1771,8,0,Delivered,45476.95
SYSSHP0000039,SHP0000039,PO694916,SUP843215,WH997546,2025-08-05,2025-08-21,2025-08-23,Ecom Express,Rail,TRK611947770,2180,5,2,Delayed,37084.86
SYSSHP0000040,SHP0000040,PO609597,SUP528361,WH771088,2026-05-25,2026-06-10,2026-06-10,Blue Dart,Road,TRK738914080,1387,6,0,Delivered,30985.31
SYSSHP0000041,SHP0000041,PO231869,SUP522179,WH329974,2026-06-11,2026-06-27,2026-06-27,Ecom Express,Road,TRK364371717,1190,4,0,Delivered,29624.57
SYSSHP0000042,SHP0000042,PO377932,SUP970127,WH922157,2025-10-05,2025-10-18,2025-10-18,Ecom Express,Road,TRK706907788,381,2,0,Delivered,9377.9
SYSSHP0000043,SHP0000043,PO665492,SUP514850,WH460663,2026-05-02,2026-05-13,2026-05-13,FedEx,Road,TRK240529481,834,5,0,Delivered,21148.95
SYSSHP0000044,SHP0000044,PO518373,SUP475190,WH174441,2026-01-13,2026-01-28,2026-01-28,Ecom Express,Road,TRK207354053,914,4,0,Delivered,20442.8
SYSSHP0000045,SHP0000045,PO559381,SUP270395,WH686075,2025-12-12,2025-12-28,2025-12-28,DHL,Road,TRK173864104,345,4,0,Delivered,9106.74
SYSSHP0000046,SHP0000046,PO167136,SUP123005,WH656116,2025-11-18,2025-12-06,2025-12-06,Ecom Express,Road,TRK966616964,1056,6,0,Delivered,26684.99
SYSSHP0000047,SHP0000047,PO330914,SUP162535,WH808011,2025-10-03,2025-10-14,2025-10-16,Blue Dart,Rail,TRK244193987,720,5,2,Delayed,11561.66
SYSSHP0000048,SHP0000048,PO170674,SUP797229,WH324082,2025-10-24,2025-11-09,2025-11-09,Delhivery,Road,TRK870530217,519,3,0,Delivered,12307.77
SYSSHP0000049,SHP0000049,PO174299,SUP350405,WH212235,2026-05-26,2026-06-10,2026-06-10,Blue Dart,Road,TRK199104722,1707,9,0,Delivered,42967.62
SYSSHP0000050,SHP0000050,PO665427,SUP797229,WH658582,2025-12-11,2025-12-26,2025-12-26,DHL,Rail,TRK273497327,866,4,0,Delivered,15557.62
SYSSHP0000051,SHP0000051,PO595631,SUP162535,WH205907,2025-09-12,2025-09-23,2025-09-24,Shadowfax,Road,TRK260045822,1429,6,1,Delayed,35336.24
SYSSHP0000052,SHP0000052,PO198907,SUP290556,WH808011,2025-09-09,2025-09-18,2025-09-18,Blue Dart,Road,TRK430989881,26,1,0,Delivered,619.4
SYSSHP0000053,SHP0000053,PO589710,SUP677596,WH519066,2025-12-27,2026-01-05,2026-01-05,Delhivery,Road,TRK816114302,1190,5,0,Delivered,26791.62
SYSSHP0000054,SHP0000054,PO777568,SUP350405,WH690341,2025-09-10,2025-09-24,2025-09-27,Shadowfax,Road,TRK265950383,365,3,3,Delayed,9719.52
SYSSHP0000055,SHP0000055,PO214576,SUP475190,WH422451,2025-12-19,2026-01-03,2026-01-03,Blue Dart,Road,TRK292587044,530,2,0,Delivered,13611.9
SYSSHP0000056,SHP0000056,PO542374,SUP717024,WH322086,2026-06-28,2026-07-12,2026-07-12,Delhivery,Road,TRK386480450,555,4,0,Delivered,12651.77
SYSSHP0000057,SHP0000057,PO179046,SUP290556,WH274389,2025-12-13,2025-12-24,2025-12-24,FedEx,Road,TRK475442872,1736,9,0,Delivered,40841.06
SYSSHP0000058,SHP0000058,PO153045,SUP500156,WH380746,2026-03-24,2026-04-06,2026-04-06,Delhivery,Road,TRK527849588,2250,7,0,Delivered,53192.95
SYSSHP0000059,SHP0000059,PO197793,SUP786735,WH781453,2025-11-13,2025-11-29,2025-11-29,FedEx,Road,TRK829627019,442,3,0,Delivered,11892.34
SYSSHP0000060,SHP0000060,PO274389,SUP216970,WH686075,2026-06-13,2026-06-29,2026-06-29,Blue Dart,Road,TRK380477683,345,3,0,Delivered,7898.03
SYSSHP0000061,SHP0000061,PO161483,SUP207570,WH829716,2025-08-19,2025-09-11,2025-09-12,FedEx,Road,TRK471178705,500,2,1,Delayed,12821.36
SYSSHP0000062,SHP0000062,PO509386,SUP475190,WH690341,2026-05-14,2026-05-27,2026-05-27,Ecom Express,Road,TRK304095531,942,4,0,Delivered,21923.74
SYSSHP0000063,SHP0000063,PO543555,SUP697530,WH112038,2026-01-29,2026-02-08,2026-02-08,Blue Dart,Road,TRK813219781,1751,7,0,Delivered,46583.35
SYSSHP0000064,SHP0000064,PO794022,SUP965845,WH526833,2026-02-28,2026-03-16,2026-03-16,DHL,Road,TRK644518647,1190,4,0,Delivered,28020.24
SYSSHP0000065,SHP0000065,PO161324,SUP498382,WH526833,2025-09-20,2025-10-11,2025-10-11,DHL,Road,TRK695295870,150,3,0,Delivered,3395.47
SYSSHP0000066,SHP0000066,PO159942,SUP824586,WH816751,2026-07-27,2026-08-11,2026-08-11,Delhivery,Road,TRK760904107,1161,6,0,In Transit,28845.66
SYSSHP0000067,SHP0000067,PO994141,SUP270395,WH656116,2025-12-27,2026-01-12,2026-01-12,FedEx,Road,TRK943702118,1131,5,0,Delivered,28161.81
SYSSHP0000068,SHP0000068,PO992697,SUP377405,WH636265,2025-09-02,2025-10-03,2025-10-05,Delhivery,Road,TRK648868899,2180,9,2,Delayed,53117.73
SYSSHP0000069,SHP0000069,PO346629,SUP399607,WH770487,2026-03-06,2026-03-24,2026-03-24,DHL,Road,TRK653462378,1460,7,0,Delivered,36966.13
SYSSHP0000070,SHP0000070,PO707040,SUP738720,WH324082,2025-11-23,2025-12-11,2025-12-11,Delhivery,Road,TRK258220114,1568,8,0,Delivered,34687.5
SYSSHP0000071,SHP0000071,PO712024,SUP580547,WH582662,2026-06-20,2026-07-12,2026-07-12,Blue Dart,Road,TRK588999385,345,3,0,Delivered,8304.91
SYSSHP0000072,SHP0000072,PO802258,SUP725550,WH686075,2026-04-05,2026-04-17,2026-04-17,Delhivery,Road,TRK258453521,1589,9,0,Delivered,40170.38
