SupplierSysID,SupplierID,SupplierName,Phone,Email,City,State,SupplierSize,SupplierTier,Rating,ActiveStatus
SYSSUP0000001,SUP770487,Choudhury Bakshi Traders,4332181960,chandertejas@tiwari.com,New Delhi,Delhi,Small,Tier 2,3.5,Active
SYSSUP0000002,SUP671858,Issac Saini Traders,+917940265423,harsh16@parmer.org,Coimbatore,Tamil Nadu,Small,Tier 2,3.7,Active
SYSSUP0000003,SUP688508,Lalla Bassi Distributors,7816184959,ekarajbath@kari.com,Surat,Gujarat,Small,Tier 3,3.8,Active
SYSSUP0000004,SUP944962,Chaudhuri Rai Distributors,07525534192,nihalshere@madan-kanda.com,Surat,Gujarat,Small,Tier 2,4.6,Active
SYSSUP0000005,SUP197251,Bhalla Karnik Wholesale,+915641395376,qdhar@koshy.net,New Delhi,Delhi,Medium,Tier 2,4.4,Active
SYSSUP0000006,SUP662275,Yohannan Lall Traders,9696532871,choudharymichael@dutta.biz,Bengaluru,Karnataka,Medium,Tier 3,3.5,Active
SYSSUP0000007,SUP705397,Raj Sidhu Distributors,4801845146,sudikshaaggarwal@lall.net,Ahmedabad,Gujarat,Small,Tier 2,3.8,Active
SYSSUP0000008,SUP344098,Cherian Misra Traders,8932528809,vrinda01@mohanty-khatri.com,Mangalore,Karnataka,Small,Tier 3,2.6,Active
SYSSUP0000009,SUP802729,Khosla Brar Enterprises,+917182278248,ikakar@iyer.com,Ahmedabad,Gujarat,Medium,Tier 1,4.8,Active
SYSSUP0000010,SUP497887,Sarma Varughese Enterprises,01331509839,abhimanyubobal@bhargava.com,Ahmedabad,Gujarat,Medium,Tier 3,3.8,Active
SYSSUP0000011,SUP133659,Narayanan Bobal Enterprises,3473829973,mray@chatterjee.biz,Mangalore,Karnataka,Small,Tier 3,3.4,Active
SYSSUP0000012,SUP322955,Pandya Sampath Industries,07010651333,bdey@mallick.com,Mangalore,Karnataka,Large,Tier 1,4.3,Active
SYSSUP0000013,SUP881177,Borra Savant Supplies,1080132677,nandinibhargava@raghavan.biz,Coimbatore,Tamil Nadu,Medium,Tier 2,4.2,Active
SYSSUP0000014,SUP245051,Lanka Sha Supplies,06872343098,murthydakshesh@sood.net,Bengaluru,Karnataka,Medium,Tier 3,2.6,Active
SYSSUP0000015,SUP813536,Dugar Bhandari Wholesale,1219136193,bumboni@virk.com,Chennai,Tamil Nadu,Small,Tier 3,3.2,Active
SYSSUP0000016,SUP680099,Murthy Khare Traders,06247510799,borahtanay@lanka.com,Ahmedabad,Gujarat,Medium,Tier 2,3.7,Active
SYSSUP0000017,SUP216970,Konda Pingle Enterprises,02784980841,aishanidalia@dugal.com,Bengaluru,Karnataka,Small,Tier 3,4.0,Active
SYSSUP0000018,SUP624902,Kade Oza Distributors,+914874016400,kalpit42@sathe.com,Chennai,Tamil Nadu,Large,Tier 1,4.7,Active
SYSSUP0000019,SUP260263,Borra Dixit Enterprises,0598262045,parmarshivansh@krish.net,Noida,Uttar Pradesh,Medium,Tier 2,3.5,Active
SYSSUP0000020,SUP972064,Ray Dubey Enterprises,+912260256342,rajabalvan@kapadia-iyengar.info,Noida,Uttar Pradesh,Small,Tier 3,2.4,Active
SYSSUP0000021,SUP955662,Palla Mody Traders,+913036541458,vyadav@dalia.com,Chennai,Tamil Nadu,Small,Tier 3,3.3,Active
SYSSUP0000022,SUP736059,Lanka Barad Wholesale,+919655698169,aachalbasu@sarin.net,Ghaziabad,Uttar Pradesh,Medium,Tier 2,4.3,Active
SYSSUP0000023,SUP642717,Hegde Patla Wholesale,01595148465,jmerchant@handa.biz,New Delhi,Delhi,Small,Tier 2,4.2,Active
SYSSUP0000024,SUP330914,Ghosh Mitra Traders,08044369957,rsathe@vaidya.com,New Delhi,Delhi,Small,Tier 3,3.9,Active
SYSSUP0000025,SUP349565,Chad Mander Enterprises,9513433200,vaishnavibora@sachdeva-hayer.biz,Surat,Gujarat,Small,Tier 2,4.6,Active
SYSSUP0000026,SUP595631,Talwar Ratta Distributors,+912016328708,jairajshan@shetty.net,Mangalore,Karnataka,Small,Tier 2,4.0,Active
SYSSUP0000027,SUP589710,Nadig Savant Industries,8687277434,rkhare@brahmbhatt-mangal.com,New Delhi,Delhi,Small,Tier 3,3.8,Active
SYSSUP0000028,SUP300896,Magar Nayak Distributors,08122362316,inarayanan@sagar-bhatia.com,Coimbatore,Tamil Nadu,Small,Tier 2,4.0,Active
SYSSUP0000029,SUP179046,Salvi Ramachandran Wholesale,0967054668,vinayakanda@sarin-sunder.com,Chennai,Tamil Nadu,Small,Tier 3,3.9,Inactive
SYSSUP0000030,SUP890170,Ramachandran Nayar Distributors,6272980699,chackopriya@shenoy.com,Kanpur,Uttar Pradesh,Small,Tier 2,3.9,Active
