SupplierProductSysID,SupplierID,ProductID,LeadTimeDays,MinimumOrderQty,QuotedUnitCost,DefectRatePercentage
SYSSP0000001,SUP770487,PROD375097,6,179,378.44,2.03
SYSSP0000002,SUP770487,PROD391668,11,157,499.13,2.1
SYSSP0000003,SUP770487,PROD881549,3,90,943.53,1.55
SYSSP0000004,SUP770487,PROD776364,5,105,687.01,1.54
SYSSP0000005,SUP770487,PROD265080,4,147,164.9,2.66
SYSSP0000006,SUP770487,PROD866260,12,117,365.97,2.41
SYSSP0000007,SUP770487,PROD329659,10,163,179.91,1.63
SYSSP0000008,SUP770487,PROD418672,10,250,194.39,2.16
SYSSP0000009,SUP770487,PROD571435,7,395,217.35,0.95
SYSSP0000010,SUP770487,PROD869864,5,248,282.87,2.68
SYSSP0000011,SUP770487,PROD489043,3,294,515.51,2.2
SYSSP0000012,SUP770487,PROD158132,7,183,409.65,1.26
SYSSP0000013,SUP770487,PROD551860,6,136,446.33,1.18
SYSSP0000014,SUP770487,PROD392670,5,183,211.06,1.39
SYSSP0000015,SUP770487,PROD326130,10,212,456.24,2.65
SYSSP0000016,SUP770487,PROD504924,39,23,40620.97,0.87
SYSSP0000017,SUP770487,PROD726822,25,45,17639.18,1.26
SYSSP0000018,SUP770487,PROD108454,33,40,50151.04,1.9
SYSSP0000019,SUP770487,PROD475479,35,49,47696.45,1.11
SYSSP0000020,SUP770487,PROD388086,38,55,50792.95,2.44
SYSSP0000021,SUP671858,PROD581532,4,181,923.42,1.73
SYSSP0000022,SUP671858,PROD720407,3,297,409.44,2.99
SYSSP0000023,SUP671858,PROD478120,10,228,839.15,2.69
SYSSP0000024,SUP671858,PROD531071,2,158,818.8,1.98
SYSSP0000025,SUP671858,PROD165142,6,274,518.92,1.76
SYSSP0000026,SUP671858,PROD730193,9,101,539.04,2.73
SYSSP0000027,SUP671858,PROD397846,23,52,37897.3,1.92
SYSSP0000028,SUP671858,PROD714953,18,60,73285.83,2.21
SYSSP0000029,SUP671858,PROD281162,34,32,42322.78,2.48
SYSSP0000030,SUP671858,PROD704201,32,53,68893.67,2.12
SYSSP0000031,SUP671858,PROD388086,30,21,49481.25,1.6
SYSSP0000032,SUP688508,PROD308296,14,82,176.16,7.23
SYSSP0000033,SUP688508,PROD317782,9,185,220.67,4.62
SYSSP0000034,SUP688508,PROD520274,12,101,948.84,4.49
SYSSP0000035,SUP688508,PROD202365,13,182,523.69,3.74
SYSSP0000036,SUP688508,PROD565776,8,55,665.08,3.65
SYSSP0000037,SUP688508,PROD315173,8,68,946.79,2.79
SYSSP0000038,SUP688508,PROD221707,6,134,419.05,3.69
SYSSP0000039,SUP688508,PROD343467,13,188,489.76,7.18
SYSSP0000040,SUP688508,PROD722665,18,171,204.5,4.86
SYSSP0000041,SUP688508,PROD934638,12,74,209.18,4.66
SYSSP0000042,SUP688508,PROD649577,14,169,1210.06,2.77
SYSSP0000043,SUP688508,PROD158132,5,306,399.66,6.5
SYSSP0000044,SUP688508,PROD324345,6,198,303.04,4.74
SYSSP0000045,SUP688508,PROD343807,11,242,132.82,6.87
SYSSP0000046,SUP688508,PROD869864,8,381,251.98,5.76
SYSSP0000047,SUP688508,PROD800646,12,147,594.56,6.74
SYSSP0000048,SUP688508,PROD716493,9,348,510.72,6.82
SYSSP0000049,SUP688508,PROD385037,5,294,196.57,4.45
SYSSP0000050,SUP944962,PROD834591,38,40,80078.75,2.09
SYSSP0000051,SUP944962,PROD805200,31,53,34427.26,2.91
SYSSP0000052,SUP944962,PROD555292,17,31,82330.65,0.95
SYSSP0000053,SUP944962,PROD286450,22,45,85603.21,2.76
SYSSP0000054,SUP944962,PROD572407,22,57,99703.25,2.16
SYSSP0000055,SUP944962,PROD701253,28,57,135381.97,1.5
SYSSP0000056,SUP944962,PROD626690,6,204,262.85,1.49
SYSSP0000057,SUP944962,PROD502219,6,302,139.9,2.22
SYSSP0000058,SUP944962,PROD855944,9,261,291.26,2.86
SYSSP0000059,SUP944962,PROD510623,2,334,474.63,2.04
SYSSP0000060,SUP944962,PROD260626,3,137,131.96,1.91
SYSSP0000061,SUP944962,PROD324130,4,278,109.56,2.73
SYSSP0000062,SUP944962,PROD645007,7,245,1077.88,2.63
SYSSP0000063,SUP944962,PROD130610,6,370,505.94,2.6
SYSSP0000064,SUP197251,PROD745972,5,617,67.4,2.31
SYSSP0000065,SUP197251,PROD160718,6,508,369.09,2.79
SYSSP0000066,SUP197251,PROD687044,2,297,111.77,2.62
SYSSP0000067,SUP197251,PROD158104,2,251,228.67,1.09
SYSSP0000068,SUP197251,PROD222629,6,332,177.99,2.01
SYSSP0000069,SUP197251,PROD615060,8,537,478.65,0.97
SYSSP0000070,SUP197251,PROD123682,4,529,49.07,1.61
