WeatherSysID,WeatherID,City,State,Date,TemperatureC,HumidityPercent,RainfallMM,WindSpeedKmph,WeatherCondition,WeatherSeverity
SYSWEA0000001,WTH334053,New Delhi,Delhi,2023-01-01,9,75,0,12,Cloudy,Normal
SYSWEA0000002,WTH719176,Mumbai,Maharashtra,2023-01-01,31,73,0,7,Cloudy,Normal
SYSWEA0000003,WTH629903,Bengaluru,Karnataka,2023-01-01,15,77,0,12,Sunny,Normal
SYSWEA0000004,WTH331148,Chennai,Tamil Nadu,2023-01-01,29,61,0,18,Cloudy,Normal
SYSWEA0000005,WTH832052,Ahmedabad,Gujarat,2023-01-01,20,63,0,10,Cloudy,Normal
SYSWEA0000006,WTH207175,Noida,Uttar Pradesh,2023-01-01,13,62,0,15,Sunny,Normal
SYSWEA0000007,WTH733052,Pune,Maharashtra,2023-01-01,20,55,0,16,Sunny,Normal
SYSWEA0000008,WTH496922,Ghaziabad,Uttar Pradesh,2023-01-01,20,51,0,8,Cloudy,Normal
SYSWEA0000009,WTH705397,Lucknow,Uttar Pradesh,2023-01-01,17,45,0,16,Fog,Moderate
SYSWEA0000010,WTH910620,Kanpur,Uttar Pradesh,2023-01-01,19,52,0,12,Sunny,Normal
SYSWEA0000011,WTH391476,Nagpur,Maharashtra,2023-01-01,14,53,0,17,Fog,Moderate
SYSWEA0000012,WTH319684,Mangalore,Karnataka,2023-01-01,30,84,0,16,Sunny,Normal
SYSWEA0000013,WTH660086,Coimbatore,Tamil Nadu,2023-01-01,29,72,2,10,Cloudy,Normal
SYSWEA0000014,WTH771088,New Delhi,Delhi,2023-01-02,11,81,0,13,Sunny,Normal
SYSWEA0000015,WTH340174,Mumbai,Maharashtra,2023-01-02,30,79,0,6,Fog,Moderate
SYSWEA0000016,WTH321231,Bengaluru,Karnataka,2023-01-02,27,52,0,7,Sunny,Normal
SYSWEA0000017,WTH249811,Chennai,Tamil Nadu,2023-01-02,24,80,2,19,Sunny,Normal
SYSWEA0000018,WTH883300,Ahmedabad,Gujarat,2023-01-02,16,51,0,13,Cloudy,Normal
SYSWEA0000019,WTH245051,Noida,Uttar Pradesh,2023-01-02,14,72,0,12,Sunny,Normal
SYSWEA0000020,WTH260265,Pune,Maharashtra,2023-01-02,21,82,0,8,Cloudy,Normal
SYSWEA0000021,WTH503457,Ghaziabad,Uttar Pradesh,2023-01-02,10,75,2,7,Sunny,Normal
SYSWEA0000022,WTH813328,Lucknow,Uttar Pradesh,2023-01-02,18,64,0,5,Sunny,Normal
SYSWEA0000023,WTH905934,Kanpur,Uttar Pradesh,2023-01-02,9,86,2,13,Fog,Moderate
SYSWEA0000024,WTH575763,Nagpur,Maharashtra,2023-01-02,22,76,0,10,Sunny,Normal
SYSWEA0000025,WTH632342,Mangalore,Karnataka,2023-01-02,31,70,4,10,Sunny,Normal
SYSWEA0000026,WTH260263,Coimbatore,Tamil Nadu,2023-01-02,28,61,0,11,Fog,Moderate
SYSWEA0000027,WTH728038,New Delhi,Delhi,2023-01-03,20,58,0,5,Sunny,Normal
SYSWEA0000028,WTH972064,Mumbai,Maharashtra,2023-01-03,27,85,0,16,Sunny,Normal
SYSWEA0000029,WTH189814,Bengaluru,Karnataka,2023-01-03,18,69,0,7,Sunny,Normal
SYSWEA0000030,WTH791798,Chennai,Tamil Nadu,2023-01-03,22,91,0,9,Cloudy,Normal
SYSWEA0000031,WTH322086,Ahmedabad,Gujarat,2023-01-03,17,65,0,18,Sunny,Normal
SYSWEA0000032,WTH518373,Noida,Uttar Pradesh,2023-01-03,20,69,4,14,Cloudy,Normal
SYSWEA0000033,WTH226882,Pune,Maharashtra,2023-01-03,24,92,0,19,Sunny,Normal
SYSWEA0000034,WTH717024,Ghaziabad,Uttar Pradesh,2023-01-03,11,50,0,12,Sunny,Normal
SYSWEA0000035,WTH340062,Lucknow,Uttar Pradesh,2023-01-03,9,54,0,6,Cloudy,Normal
SYSWEA0000036,WTH392004,Kanpur,Uttar Pradesh,2023-01-03,8,44,0,12,Sunny,Normal
SYSWEA0000037,WTH354801,Nagpur,Maharashtra,2023-01-03,27,77,0,20,Sunny,Normal
SYSWEA0000038,WTH790993,Mangalore,Karnataka,2023-01-03,27,95,0,8,Sunny,Normal
SYSWEA0000039,WTH806073,Coimbatore,Tamil Nadu,2023-01-03,23,82,0,6,Sunny,Normal
SYSWEA0000040,WTH939482,New Delhi,Delhi,2023-01-04,18,76,0,15,Sunny,Normal
SYSWEA0000041,WTH246991,Mumbai,Maharashtra,2023-01-04,23,71,0,19,Sunny,Normal
SYSWEA0000042,WTH564656,Bengaluru,Karnataka,2023-01-04,17,77,0,7,Sunny,Normal
SYSWEA0000043,WTH197793,Chennai,Tamil Nadu,2023-01-04,22,95,0,5,Cloudy,Normal
SYSWEA0000044,WTH324130,Ahmedabad,Gujarat,2023-01-04,19,83,0,20,Sunny,Normal
SYSWEA0000045,WTH509386,Noida,Uttar Pradesh,2023-01-04,14,90,0,5,Sunny,Normal
SYSWEA0000046,WTH262316,Pune,Maharashtra,2023-01-04,26,66,0,20,Sunny,Normal
SYSWEA0000047,WTH884309,Ghaziabad,Uttar Pradesh,2023-01-04,12,47,0,6,Rain,Moderate
SYSWEA0000048,WTH159642,Lucknow,Uttar Pradesh,2023-01-04,9,60,0,10,Sunny,Normal
SYSWEA0000049,WTH808011,Kanpur,Uttar Pradesh,2023-01-04,9,72,0,7,Sunny,Normal
SYSWEA0000050,WTH707040,Nagpur,Maharashtra,2023-01-04,24,50,0,12,Fog,Moderate
SYSWEA0000051,WTH373432,Mangalore,Karnataka,2023-01-04,20,89,0,15,Sunny,Normal
SYSWEA0000052,WTH515011,Coimbatore,Tamil Nadu,2023-01-04,28,68,4,13,Sunny,Normal
SYSWEA0000053,WTH888387,New Delhi,Delhi,2023-01-05,18,43,2,15,Sunny,Normal
SYSWEA0000054,WTH176819,Mumbai,Maharashtra,2023-01-05,20,69,0,8,Cloudy,Normal
SYSWEA0000055,WTH172132,Bengaluru,Karnataka,2023-01-05,18,84,0,16,Sunny,Normal
SYSWEA0000056,WTH741390,Chennai,Tamil Nadu,2023-01-05,26,75,0,14,Sunny,Normal
SYSWEA0000057,WTH795613,Ahmedabad,Gujarat,2023-01-05,28,76,0,14,Cloudy,Normal
SYSWEA0000058,WTH878480,Noida,Uttar Pradesh,2023-01-05,10,41,0,8,Sunny,Normal
SYSWEA0000059,WTH852470,Pune,Maharashtra,2023-01-05,16,85,0,11,Sunny,Normal
SYSWEA0000060,WTH629959,Ghaziabad,Uttar Pradesh,2023-01-05,11,56,2,13,Cloudy,Normal
SYSWEA0000061,WTH969634,Lucknow,Uttar Pradesh,2023-01-05,13,71,0,18,Sunny,Normal
SYSWEA0000062,WTH768061,Kanpur,Uttar Pradesh,2023-01-05,8,57,0,9,Sunny,Normal
